method_short,Precision@k,Recall@k,MRR,BLEU,ROUGE-L
Element,0.1285714285714286,0.3922607142857143,0.35416428571428565,0.11782000000000001,0.7005
MaxMin,0.1310344827586207,0.446551724137931,0.34884827586206896,0.10522999999999999,0.6369066666666666
Recursive,0.14482758620689656,0.35229655172413793,0.4293103448275862,0.14401,0.6838133333333333
